micronaut-mapper, Startup time, 7544 milliseconds
micronaut-mapper, Memory Usage (Startup), 355
micronaut-mapper, Startup time, 6806 milliseconds
micronaut-mapper, Memory Usage (Startup), 349.2
micronaut-mapper, Startup time, 7189 milliseconds
micronaut-mapper, Memory Usage (Startup), 343.8
micronaut-mapper, Startup time, 6918 milliseconds
micronaut-mapper, Memory Usage (Startup), 340.3
micronaut-mapper, Memory Usage (Load), 435
micronaut-mapper, Load Time, 4757 milliseconds
micronaut-mapper, Memory Usage (Load), 401.8
micronaut-mapper, Load Time, 5796 milliseconds
micronaut-mapper, Memory Usage (Load), 445.7
micronaut-mapper, Load Time, 4412 milliseconds
micronaut-mapper, Memory Usage (Load), 443.3
micronaut-mapper, Load Time, 4670 milliseconds
micronaut-mapper, Memory Usage (Load), 439.9
micronaut-mapper, Load Time, 5147 milliseconds
micronaut-driver-fixed-thread-pool, Compile time, 12456 milliseconds
micronaut-driver-fixed-thread-pool, Compile time, 13756 milliseconds
micronaut-driver-fixed-thread-pool, Compile time, 14657 milliseconds
micronaut-driver-fixed-thread-pool, Compile time, 13409 milliseconds
micronaut-driver-fixed-thread-pool, Compile time, 11910 milliseconds
micronaut-driver-fixed-thread-pool, Startup time, 9844 milliseconds
micronaut-driver-fixed-thread-pool, Memory Usage (Startup), 347.3
micronaut-driver-fixed-thread-pool, Startup time, 6176 milliseconds
micronaut-driver-fixed-thread-pool, Memory Usage (Startup), 336.2
micronaut-driver-fixed-thread-pool, Startup time, 6764 milliseconds
micronaut-driver-fixed-thread-pool, Memory Usage (Startup), 342
micronaut-driver-fixed-thread-pool, Startup time, 7326 milliseconds
micronaut-driver-fixed-thread-pool, Memory Usage (Startup), 317.3
micronaut-driver-fixed-thread-pool, Startup time, 6072 milliseconds
micronaut-driver-fixed-thread-pool, Memory Usage (Startup), 359.7
micronaut-driver-fixed-thread-pool, Memory Usage (Load), 386.8
micronaut-driver-fixed-thread-pool, Load Time, 4771 milliseconds
micronaut-driver-fixed-thread-pool, Memory Usage (Load), 437.4
micronaut-driver-fixed-thread-pool, Load Time, 5148 milliseconds
micronaut-driver-fixed-thread-pool, Memory Usage (Load), 436.5
micronaut-driver-fixed-thread-pool, Load Time, 4149 milliseconds
micronaut-driver-fixed-thread-pool, Memory Usage (Load), 444.2
micronaut-driver-fixed-thread-pool, Load Time, 5125 milliseconds
micronaut-driver-fixed-thread-pool, Memory Usage (Load), 437.8
micronaut-driver-fixed-thread-pool, Load Time, 5416 milliseconds
micronaut-mapper-fixed-thread-pool, Compile time, 14510 milliseconds
micronaut-mapper-fixed-thread-pool, Compile time, 14870 milliseconds
micronaut-mapper-fixed-thread-pool, Compile time, 13606 milliseconds
micronaut-mapper-fixed-thread-pool, Compile time, 13060 milliseconds
micronaut-mapper-fixed-thread-pool, Compile time, 12649 milliseconds
micronaut-mapper-fixed-thread-pool, Startup time, 6587 milliseconds
micronaut-mapper-fixed-thread-pool, Memory Usage (Startup), 365.3
micronaut-mapper-fixed-thread-pool, Startup time, 6113 milliseconds
micronaut-mapper-fixed-thread-pool, Memory Usage (Startup), 360.4
micronaut-mapper-fixed-thread-pool, Startup time, 7011 milliseconds
micronaut-mapper-fixed-thread-pool, Memory Usage (Startup), 344.1
micronaut-mapper-fixed-thread-pool, Startup time, 7211 milliseconds
micronaut-mapper-fixed-thread-pool, Memory Usage (Startup), 331.4
micronaut-mapper-fixed-thread-pool, Startup time, 6772 milliseconds
micronaut-mapper-fixed-thread-pool, Memory Usage (Startup), 308.5
micronaut-mapper-fixed-thread-pool, Memory Usage (Load), 405.6
micronaut-mapper-fixed-thread-pool, Load Time, 4819 milliseconds
micronaut-mapper-fixed-thread-pool, Memory Usage (Load), 414.9
micronaut-mapper-fixed-thread-pool, Load Time, 4921 milliseconds
micronaut-mapper-fixed-thread-pool, Memory Usage (Load), 434.8
micronaut-mapper-fixed-thread-pool, Load Time, 4519 milliseconds
micronaut-mapper-fixed-thread-pool, Memory Usage (Load), 439.3
micronaut-mapper-fixed-thread-pool, Load Time, 4702 milliseconds
micronaut-mapper-fixed-thread-pool, Memory Usage (Load), 440.1
micronaut-mapper-fixed-thread-pool, Load Time, 4649 milliseconds
quarkus-graal, Compile time, 398005 milliseconds
quarkus-graal, Compile time, 344159 milliseconds
quarkus-graal, Compile time, 378154 milliseconds
quarkus-graal, Compile time, 361283 milliseconds
quarkus-graal, Compile time, 366144 milliseconds
quarkus-graal, Startup time, 3673 milliseconds
quarkus-graal, Memory Usage (Startup), 19.68
quarkus-graal, Startup time, 5353 milliseconds
quarkus-graal, Memory Usage (Startup), 24.57
quarkus-graal, Startup time, 4907 milliseconds
quarkus-graal, Memory Usage (Startup), 25.13
quarkus-graal, Startup time, 3336 milliseconds
quarkus-graal, Memory Usage (Startup), 19.65
quarkus-graal, Startup time, 5382 milliseconds
quarkus-graal, Memory Usage (Startup), 21.6
quarkus-graal, Memory Usage (Load), 48.48
quarkus-graal, Load Time, 4102 milliseconds
quarkus-graal, Memory Usage (Load), 54.25
quarkus-graal, Load Time, 3625 milliseconds
quarkus-graal, Memory Usage (Load), 64
quarkus-graal, Load Time, 3673 milliseconds
quarkus-graal, Memory Usage (Load), 75.97
quarkus-graal, Load Time, 5948 milliseconds
quarkus-graal, Memory Usage (Load), 86
quarkus-graal, Load Time, 4261 milliseconds
